,,,,,,Normalized summed signal-to-noise ratio,,,,,,,,,,,,Normalized relative abundance,,,Absolute abundance (copy number per average cell),,
AOE93233.1,FMN-dependent NADH-azoreductase [synthetic bacterium JCVI-Syn3.0],93.4673366834171,127,200,55000000000,5260279084.91018,5584009389.05262,5869028497.0992,5584009389.05262,5841251736.7468,6035577371.2278,6398369460.54322,6035577371.2278,6360060870.35499,6946801834.4792,6704621755.58599,6704621755.58599,0.003653846489102,0.003700506867561,0.004164473175167,281,285,321
AOE93234.1,ABC transporter ATP-binding protein [synthetic bacterium JCVI-Syn3.0],78.4883720930232,115,345,70000000000,7586954415.62158,7311897053.57147,7473165033.13369,7473165033.13369,8243747253.62744,8021467201.03137,7241743152.09161,8021467201.03137,7993967007.28082,7905406526.76758,8221652356.87444,7993967007.28082,0.004889998550562,0.00491808697654,0.004965330242121,377,379,382
AOE93235.1,STREFT protein [synthetic bacterium JCVI-Syn3.0],37.0722433460076,59,1053,9800000000,1200905842.30637,1234789941.5154,1190006422.25289,1200905842.30637,952102516.837866,1038082548.72605,1120649850.07863,1038082548.72605,1027413944.4892,1017448006.38926,1018600927.40434,1018600927.40434,0.000785801973087,0.000636464643626,0.000632688374231,61,49,49
AOE93236.1,ABC transporter permease [synthetic bacterium JCVI-Syn3.0],22.116991643454,29,1796,1500000000,172413625.389979,176171427.380322,174596507.735868,174596507.735868,196531592.637455,205247643.192974,177375422.074385,196531592.637455,133493191.41645,131185288.517978,132985301.654588,132985301.654588,0.000114245659767,0.000120496592706,8.26017845034435E-05,9,9,6
AOE93237.1,cell division protein FtsH [synthetic bacterium JCVI-Syn3.0],52.3148148148148,138,649,24000000000,2895719340.24594,2932092777.51131,2966553712.58007,2932092777.51131,2559474045.77289,2595221556.41633,2339620260.4573,2559474045.77289,2548111575.78559,2519601977.2996,2643604753.93098,2548111575.78559,0.001918588625913,0.001569253561205,0.001582720501101,148,121,122
AOE93238.1,tRNA lysidine(34) synthetase TilS [synthetic bacterium JCVI-Syn3.0],60.0997506234414,55,402,7700000000,777927120.868689,807129909.063714,768029125.253676,777927120.868689,947690400.134447,908971206.765594,848543740.680092,908971206.765594,883832788.340586,883625432.101141,874250276.792061,883625432.101141,0.000509029638262,0.000557304460893,0.000548850411407,39,43,42
AOE93239.1,RpiR family transcriptional regulator [synthetic bacterium JCVI-Syn3.0],57.4545454545455,43,276,25000000000,2162957632.97548,2391743723.1669,2501481894.65929,2391743723.1669,3632237385.66264,3178636040.36967,2536193668.76898,3178636040.36967,2856971844.87055,2898837929.46138,2840939880.06511,2856971844.87055,0.00156501606585,0.00194887146223,0.001774564329488,121,150,137
AOE93240.1,DNA methyltransferase [synthetic bacterium JCVI-Syn3.0],35.8333333333333,12,241,4200000000,450687807.778179,425507236.957725,439134080.142043,439134080.142043,460044301.699635,565857963.429391,446460068.991144,460044301.699635,430461953.1022,490796666.116011,491049921.783672,490796666.116011,0.000287343448977,0.000282060355309,0.000304850836484,22,22,23
AOE93241.1,DNA polymerase III subunit delta [synthetic bacterium JCVI-Syn3.0],31.3008130081301,17,247,4500000000,637931582.929939,632878327.798212,630927722.985792,632878327.798212,428917000.731454,493086292.834856,505954723.506255,493086292.834856,360662165.020207,421172142.838458,388470041.354827,388470041.354827,0.000414118260723,0.000302318916767,0.000241292219838,32,23,19
AOE93242.1,dTMP kinase [synthetic bacterium JCVI-Syn3.0],40.8450704225352,21,214,16000000000,1830390512.227,1829804723.42701,1743659791.48109,1829804723.42701,1851358798.92008,1927274651.23648,1631228670.35743,1851358798.92008,1672866312.3511,1761267536.53525,1752149003.46456,1752149003.46456,0.001197316318548,0.001135097030217,0.001088320533182,92,87,84
AOE93243.1,recombination protein RecR [synthetic bacterium JCVI-Syn3.0],22.9591836734694,16,197,5400000000,662316807.669354,664619476.124291,672955920.642675,664619476.124291,663138472.532076,695732279.951935,559782019.564136,663138472.532076,479051342.24644,496471775.609359,505931905.659734,496471775.609359,0.000434887796605,0.000406580567329,0.000308375843877,33,31,24
AOE93244.1,"DNA polymerase III, subunit gamma and tau [synthetic bacterium JCVI-Syn3.0]",38.0239520958084,46,669,17000000000,2247513167.31218,2200717890.5007,2266244639.2599,2247513167.31218,1710532872.58075,1625420448.71358,1922885456.76289,1710532872.58075,1672041899.05685,1704122617.81318,1650521007.99997,1672041899.05685,0.001470640094498,0.001048754452614,0.001038563231487,113,81,80
AOE93245.1,peroxiredoxin [synthetic bacterium JCVI-Syn3.0],73.8255033557047,60,150,27000000000,3108317131.87978,3094311273.98565,3228004602.52999,3108317131.87978,3212666001.54515,2655604314.95941,3059962681.19712,3059962681.19712,2980775556.01638,2924858897.6423,2735499540.24421,2924858897.6423,0.002033899452533,0.001876110969968,0.001816731333163,157,145,140
AOE93246.1,hypothetical protein JCVSYN2_00165 [synthetic bacterium JCVI-Syn3.0],13.1386861313869,10,275,2900000000,193569990.923721,185280789.863403,194906293.637203,193569990.923721,380723487.944022,444995473.141696,293429082.38457,380723487.944022,406272151.139396,399730303.546816,401092427.419173,401092427.419173,0.000126660788415,0.000233427524017,0.00024913242173,10,18,19
AOE93247.1,serine--tRNA ligase [synthetic bacterium JCVI-Syn3.0],67.5355450236967,111,423,46000000000,4648734387.9853,4877357957.90567,5106379897.77999,4877357957.90567,5481598708.41137,5782352767.29348,4722255098.27102,5481598708.41137,5073974161.83285,5323652473.37875,4983694547.14157,5073974161.83285,0.003191455459499,0.003360853886554,0.003151621382793,246,259,243
AOE93248.1,tRNA dihydrouridine synthase DusB [synthetic bacterium JCVI-Syn3.0],68.8271604938272,40,325,16000000000,1438041846.48025,1402406627.2012,1384080907.09908,1402406627.2012,2047692164.21554,2104542394.97945,1954706950.52053,2047692164.21554,1874960730.42581,1884998120.1429,1908570258.93524,1884998120.1429,0.000917652205445,0.00125547208664,0.001170837728472,71,97,90
AOE93249.1,lysine--tRNA ligase [synthetic bacterium JCVI-Syn3.0],55.2,104,501,37000000000,4247737526.41315,4236389575.91997,4177530439.95404,4236389575.91997,3672211784.80578,4002636541.51812,4079417196.95083,4002636541.51812,4056151479.73145,4231499366.64098,4296426088.06568,4231499366.64098,0.002772043544337,0.002454079054781,0.002628331059605,214,189,202
AOE93250.1,thioredoxin [synthetic bacterium JCVI-Syn3.0],71.5686274509804,129,103,84000000000,8287823649.91661,8450773077.29344,8599712060.64306,8450773077.29344,11489621765.455,11682568488.7789,9010293290.63982,11489621765.455,8091746814.17568,9270642498.15996,9116818354.93751,9116818354.93751,0.005529687611056,0.007044466773209,0.00566277216912,426,543,436
AOE93251.1,HAD family hydrolase [synthetic bacterium JCVI-Syn3.0],73.2142857142857,114,281,99000000000,7188120537.59558,7357112142.09624,7544591156.47547,7357112142.09624,11483492789.2367,12881389928.4971,11869917405.5372,11869917405.5372,13079036232.2668,13775485523.7318,13820854284.5631,13775485523.7318,0.004814060381601,0.007277631977012,0.008556431970332,371,561,659
AOE93252.1,asparagine--tRNA ligase [synthetic bacterium JCVI-Syn3.0],62.3348017621145,88,455,130000000000,14350027209.8827,14601882386.9905,14854288037.6333,14601882386.9905,12853297830.8576,12740825956.6099,14658239340.5726,12853297830.8576,15353917514.715,15433712016.4516,15153809706.2868,15353917514.715,0.009554610849791,0.007880557893374,0.009536850840315,736,607,735
AOE93254.1,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD [synthetic bacterium JCVI-Syn3.0],55.6603773584906,35,319,7100000000,705810216.90766,746366388.590846,772519299.680642,746366388.590846,678631421.373104,783455640.124005,836344635.732655,783455640.124005,844690592.064623,876945532.729175,855236272.797291,855236272.797291,0.000488378156004,0.000480348904237,0.000531216919661,38,37,41
AOE93255.1,hypothetical protein JCVSYN2_00235 [synthetic bacterium JCVI-Syn3.0],58.9041095890411,18,74,5000000000,507180448.437371,537548136.809285,514265585.604418,514265585.604418,599880532.945851,606405309.154832,550670935.408816,599880532.945851,564688566.075099,566015046.061709,553345439.50262,564688566.075099,0.000336505076104,0.000367796135373,0.000350747659073,26,28,27
AOE93256.1,tRNA uridine(34) 5-carboxymethylaminomethyl synthesis GTPase MnmE [synthetic bacterium JCVI-Syn3.0],40.929203539823,41,453,29000000000,2963287667.63322,3051726345.11373,3009394146.87839,3009394146.87839,3439720398.68132,3550317025.88486,3040295897.37039,3439720398.68132,3247384358.46765,3244729918.13549,3453144241.83494,3247384358.46765,0.001969170084035,0.002108946365014,0.002017063086225,152,162,155
AOE93257.1,30S ribosomal protein S20 [synthetic bacterium JCVI-Syn3.0],24.6913580246914,20,82,35000000000,3471605956.37138,3965129309.1543,3774781485.99924,3774781485.99924,5197221104.0882,4553594988.9607,3664417386.35404,4553594988.9607,3478967279.78667,3563552202.98392,3330730286.30155,3478967279.78667,0.002469994428517,0.002791880294513,0.00216090727294,190,215,166
AOE93259.1,preprotein translocase subunit SecA [synthetic bacterium JCVI-Syn3.0],61.3347457627119,244,945,100000000000,11529380158.6376,11372165936.8266,11117791348.5378,11372165936.8266,11352682405.9812,11074616265.9316,10449997070.6706,11074616265.9316,10845017458.7361,10932000629.0312,11326348725.6473,10932000629.0312,0.007441274841553,0.006790020411808,0.006790244853496,573,523,523
AOE93260.1,5'-3' exonuclease [synthetic bacterium JCVI-Syn3.0],66.996699669967,46,304,11000000000,1400221515.50249,1444281309.21919,1395073822.7903,1400221515.50249,1426224066.1705,1416626704.48898,1441011194.54719,1426224066.1705,836332806.623287,868250739.360193,771977841.297871,836332806.623287,0.000916222397193,0.000874440277529,0.000519475321004,71,67,40
AOE93261.1,exodeoxyribonuclease VII small subunit [synthetic bacterium JCVI-Syn3.0],67.6056338028169,12,72,1400000000,143338525.704184,136555148.333932,118683193.708839,136555148.333932,216189567.732066,207354501.408001,158893101.207921,207354501.408001,140171585.469695,135792811.540001,143021564.895361,140171585.469695,8.93536372425998E-05,0.000127132287317,8.70654346940326E-05,7,10,7
AOE93262.1,exodeoxyribonuclease VII large subunit [synthetic bacterium JCVI-Syn3.0],40.2985074626866,21,470,2600000000,290796948.791846,285346627.343186,303624109.181595,290796948.791846,253885484.339428,273856338.631909,315776804.348765,273856338.631909,294648656.198476,291949075.484593,290115955.680202,291949075.484593,0.000190280376761,0.00016790560364,0.000181339699344,15,13,14
AOE93263.1,transcription antitermination factor NusB [synthetic bacterium JCVI-Syn3.0],28.030303030303,6,133,3300000000,347605885.435457,350746729.400384,352527522.325033,350746729.400384,345903900.735986,393491026.856438,371089048.631193,371089048.631193,384601251.564562,385331550.396003,368703084.654943,384601251.564562,0.000229507978317,0.000227520498616,0.00023888918028,18,18,18
AOE93264.1,lipoprotein [synthetic bacterium JCVI-Syn3.0],67.8378378378378,40,371,13000000000,1372137683.04765,1347217929.03285,1366178280.55561,1366178280.55561,1524819317.27323,1407832011.98201,1434406446.43445,1434406446.43445,1453829421.07883,1508821195.26517,1584757715.33021,1508821195.26517,0.000893946511566,0.000879457022821,0.000937181189762,69,68,72
AOE93265.1,deoxyribonuclease IV [synthetic bacterium JCVI-Syn3.0],49.4809688581315,22,290,4400000000,440899445.210069,442257329.711982,471847809.633756,442257329.711982,503797278.671263,527347881.163552,449097438.896253,503797278.671263,479701372.071947,550828623.605431,534222821.035748,534222821.035748,0.000289387119337,0.000308885989677,0.000331824327884,22,24,26
AOE93266.1,glycosyl transferase [synthetic bacterium JCVI-Syn3.0],32.0712694877506,15,450,10000000000,1577137176.34499,1614353581.63896,1560281279.17303,1577137176.34499,978984891.645292,1020603907.40721,1303965745.32542,1020603907.40721,680479750.761105,674317026.098943,589876641.605047,674317026.098943,0.001031985574007,0.000625748215311,0.000418841698923,79,48,32
AOE93267.1,glycosyl transferase [synthetic bacterium JCVI-Syn3.0],22.2222222222222,11,307,6500000000,861380617.994284,858749850.589919,829582286.14279,858749850.589919,571894315.186587,616920378.212248,745166363.846976,616920378.212248,684479149.923364,700971524.821038,630855513.282794,684479149.923364,0.000561915266967,0.000378243530966,0.000425153746584,43,29,33
AOE93268.1,UTP--glucose-1-phosphate uridylyltransferase [synthetic bacterium JCVI-Syn3.0],72.7586206896552,83,291,79000000000,6602254942.44509,6665586786.59196,7103382175.61376,6665586786.59196,10858728511.495,10826886184.5311,11474876829.5505,10858728511.495,8504499706.09596,8657522007.80718,8306262855.86943,8504499706.09596,0.004361566964006,0.006657656253621,0.005282439813215,336,513,407
AOE93269.1,hypothetical protein JCVSYN2_00305 [synthetic bacterium JCVI-Syn3.0],59.5890410958904,19,147,14000000000,1099199527.64682,1235888413.02756,1230676466.72884,1230676466.72884,1805570884.51679,1810793982.56042,1830523900.66185,1810793982.56042,1713392275.13441,1693466564.00808,1580487985.71524,1693466564.00808,0.000805282114316,0.001110226106975,0.001051870834172,62,86,81
AOE93270.1,acyl-phosphate glycerol 3-phosphate acyltransferase [synthetic bacterium JCVI-Syn3.0],9.88142292490119,4,254,180000000,23537894.2932513,24349673.0702626,26124089.2371874,24349673.0702626,15356544.757482,8415600.79639702,22573948.72576,15356544.757482,23355183.7537882,20619550.277137,15667515.0887344,20619550.277137,1.59329903049544E-05,9.41533772857813E-06,1.28075180291267E-05,100,100,100
AOE93271.1,glutamate--tRNA ligase [synthetic bacterium JCVI-Syn3.0],61.9047619047619,70,484,28000000000,2742560191.16834,2730399486.5818,2719875847.20871,2730399486.5818,3461893605.22373,3847722034.4532,2990726406.10374,3461893605.22373,3251632033.97377,3045755113.09426,3209435282.19245,3209435282.19245,0.001786612428957,0.002122541104678,0.001993491598387,138,163,154
AOE93272.1,HD family phosphohydrolase [synthetic bacterium JCVI-Syn3.0],45.7920792079208,35,405,10000000000,1091792125.94082,999268628.757512,1023221458.81932,1023221458.81932,936260826.372583,961074092.285197,1109784289.03349,961074092.285197,1257605176.42276,1258494044.79793,1362499357.5704,1258494044.79793,0.000669535789501,0.000589249554763,0.000781694312032,52,45,60
AOE93273.1,DNA-directed RNA polymerase subunit delta [synthetic bacterium JCVI-Syn3.0],52.8169014084507,26,143,3700000000,435127238.344842,413096698.296129,427721353.496942,427721353.496942,563357529.521278,553091079.027912,525757899.666559,553091079.027912,260322800.279535,259855674.129121,261669727.237681,260322800.279535,0.0002798756336,0.000339108789506,0.000161695522607,22,26,12
AOE93274.1,CTP synthase [synthetic bacterium JCVI-Syn3.0],69.1729323308271,167,533,95000000000,6073561923.73966,6054393677.5279,6275986426.39365,6073561923.73966,12267736667.1413,13002970186.3205,11935178781.1796,12267736667.1413,13053836198.1223,12894810099.5031,13441526040.0721,13053836198.1223,0.003974180801863,0.007521541187195,0.008108190538088,306,579,625
AOE93275.1,"fructose-1,6-bisphosphate aldolase, class II [synthetic bacterium JCVI-Syn3.0]",58.5858585858586,162,298,46000000000,4506830554.20309,4669336540.80283,4495224720.81641,4506830554.20309,5303661479.49046,4972895633.05927,5359368128.24054,5303661479.49046,5276092149.5208,5785012345.2058,5631578448.66083,5631578448.66083,0.002949004174265,0.003251757789012,0.003497968750252,775,775,775
AOE93276.1,AAA family ATPase [synthetic bacterium JCVI-Syn3.0],52.4079320113314,36,354,16000000000,1850684015.42888,1839431824.46491,1843768777.10737,1843768777.10737,1713067305.81257,1909165516.54818,1577472284.35919,1713067305.81257,1691975983.22662,1702802494.90949,1871631798.14279,1702802494.90949,0.001206453571901,0.001050308353261,0.001057669704745,93,81,81
AOE93277.1,hypothetical protein JCVSYN2_00345 [synthetic bacterium JCVI-Syn3.0],54.9537648612946,80,758,14000000000,1695266752.93178,1739516468.16178,1816141267.70143,1739516468.16178,1363178009.07447,1369269527.28763,1392227579.58775,1369269527.28763,1538822339.48937,1553303245.79027,1532274809.97552,1538822339.48937,0.001138237008052,0.000839520559114,0.000955815941266,88,65,74
AOE93278.1,50S ribosomal protein L31 [synthetic bacterium JCVI-Syn3.0],54.3478260869565,16,93,7100000000,882412365.005344,1071601692.33099,866480456.633614,882412365.005344,714075726.278619,661047325.517234,951893392.98509,714075726.278619,691446074.024117,780660860.761139,480382106.463851,691446074.024117,0.000577398621166,0.000437810994131,0.000429481144846,44,34,33
AOE93279.1,hypothetical protein JCVSYN2_00355 [synthetic bacterium JCVI-Syn3.0],43.9873417721519,54,633,24000000000,2224072090.21546,2149356801.00325,2136227348.22457,2149356801.00325,2277062836.79485,2726444864.7522,3085901024.16284,2726444864.7522,3078436785.7432,3231845163.91484,3090653085.18878,3090653085.18878,0.00140641235607,0.001671625981325,0.001919711854929,108,129,148
AOE93280.1,phosphoesterase [synthetic bacterium JCVI-Syn3.0],43.0379746835443,39,317,33000000000,4012449109.49434,3708234581.43814,3562814848.65444,3708234581.43814,3128843466.37959,3189452342.26556,3784327157.27681,3189452342.26556,3632753428.16277,4058797862.34217,3922327203.98617,3922327203.98617,0.002426450058038,0.001955503106062,0.002436293503301,187,151,188
AOE93281.1,thymidine kinase [synthetic bacterium JCVI-Syn3.0],50.2392344497608,17,210,40000000000,3628840358.86154,4009168080.91728,4685520154.81124,4009168080.91728,5663829387.46015,4617346029.28022,3958070997.14067,4617346029.28022,4879047949.2117,4356067528.99876,4202109513.31844,4356067528.99876,0.002623363195878,0.002830967054239,0.002705704666877,202,218,208
AOE93282.1,peptide chain release factor 1 [synthetic bacterium JCVI-Syn3.0],55.7692307692308,52,365,61000000000,6543995276.43508,6835915973.33351,6498687589.17441,6543995276.43508,7175624402.4773,6417989732.99496,7106483706.01126,7106483706.01126,7225214622.89583,6847820933.37523,6348267763.30242,6847820933.37523,0.004282004649272,0.004357096287701,0.004253419152487,330,336,328
AOE93283.1,"protein-(glutamine-N5) methyltransferase, release factor-specific [synthetic bacterium JCVI-Syn3.0]",48.936170212766,24,283,3000000000,339869259.869337,318310250.311555,342191124.16409,339869259.869337,298325333.310847,329367460.108404,354328194.251253,329367460.108404,329563373.277808,339567054.403935,348477950.30277,339567054.403935,0.000222390403634,0.000201940340272,0.000210916878056,17,16,16
AOE93284.1,hypothetical protein JCVSYN2_00380 [synthetic bacterium JCVI-Syn3.0],16.734693877551,19,491,6300000000,784456524.080066,811133658.325874,754249776.949217,784456524.080066,571878864.945568,592620932.344456,707955453.680413,592620932.344456,709634987.817427,682839892.483124,685229909.373856,685229909.373856,0.000513302094725,0.000363345160722,0.000425620069325,40,28,33
AOE93285.1,translation factor [synthetic bacterium JCVI-Syn3.0],39.7590361445783,13,167,12000000000,1111634854.13759,1042863852.31059,1093693906.33302,1093693906.33302,1789277314.96779,1578346911.77645,1362800385.74424,1578346911.77645,1394873756.7208,1317694636.72838,1308814381.28115,1317694636.72838,0.000715648803822,0.000967709172989,0.00081846585352,55,75,63
AOE93286.1,hypothetical protein JCVSYN2_00390 [synthetic bacterium JCVI-Syn3.0],60.1973684210526,69,305,31000000000,3263950017.8586,3238604824.49529,3506505690.03002,3263950017.8586,3198412290.69234,3302467868.99805,3384171195.05047,3302467868.99805,3578281703.86977,3663550550.06648,3864055858.93898,3663550550.06648,0.002135736436392,0.00202479469278,0.002275558345839,165,156,175
AOE93287.1,hypothetical protein JCVSYN2_00395 [synthetic bacterium JCVI-Syn3.0],19.5744680851064,9,236,4400000000,569707000.872558,561860925.815256,563677659.433299,563677659.433299,431004269.732322,539116769.254716,523343031.489125,523343031.489125,396391411.230844,406751966.020217,408146966.151663,406751966.020217,0.000368837423688,0.000320869796376,0.0002526477575,28,25,19
AOE93288.1,cardiolipin synthase [synthetic bacterium JCVI-Syn3.0],33.3988212180747,23,510,2400000000,300723747.426839,300630901.173378,297789010.488007,300630901.173378,225112931.022488,270824696.303933,248090247.15012,248090247.15012,250498372.771289,251964365.329544,254365728.334402,251964365.329544,0.000196715135351,0.000152108010036,0.000156503808681,15,12,12
AOE93289.1,30S ribosomal protein S12 [synthetic bacterium JCVI-Syn3.0],44.6043165467626,22,140,23000000000,2415558986.09087,2721779278.58763,2347105385.80057,2415558986.09087,2872646267.56525,1961615424.43193,3144398110.35513,2872646267.56525,3020881986.9646,2484057575.27624,2031956984.92778,2484057575.27624,0.001580599369666,0.001761264347612,0.001542934339165,122,136,119
AOE93290.1,30S ribosomal protein S7 [synthetic bacterium JCVI-Syn3.0],54.8387096774194,70,156,100000000000,9450432354.27429,10168892437.8586,9881534689.70707,9881534689.70707,14699056758.4065,11829209403.8293,10859832254.2474,11829209403.8293,10993267200.2183,11068626536.9526,11049148364.5059,11049148364.5059,0.006465893646903,0.007252673264594,0.006863009376195,498,559,529
AOE93291.1,translation elongation factor G [synthetic bacterium JCVI-Syn3.0],79.100145137881,325,690,120000000000,13383822470.6594,12952808909.1021,13341468061.9831,13341468061.9831,14315771138.6858,13546509631.3332,13089204733.5592,13546509631.3332,12772188860.3316,13080813706.3922,13517412487.9533,13080813706.3922,0.008729870034479,0.008305576888336,0.008124947204403,672,640,626
AOE93292.1,translation elongation factor Tu [synthetic bacterium JCVI-Syn3.0],75.1898734177215,329,396,110000000000,10751397422.1688,10550541859.3297,11122199919.2664,10751397422.1688,14216952223.2522,14573661991.0628,11320653336.7096,14216952223.2522,12403760984.0061,12052117143.7696,13008715120.4349,12403760984.0061,0.007035080528507,0.008716635725479,0.007704406269606,542,671,593
AOE93293.1,alanine--tRNA ligase [synthetic bacterium JCVI-Syn3.0],56.9196428571429,189,897,95000000000,8543799780.31424,8595959571.72692,8471332143.06133,8543799780.31424,12166423437.0109,12132109984.4307,10628845041.2749,12132109984.4307,11582341441.0564,11338103200.23,11541085400.8947,11541085400.8947,0.005590558800293,0.007438386347164,0.007168568536218,431,573,552
AOE93294.1,hypothetical protein JCVSYN2_00435 [synthetic bacterium JCVI-Syn3.0],18.2926829268293,8,165,1400000000,176575210.900672,182387234.407648,187077830.375345,182387234.407648,113241397.459914,119587158.60341,175921812.392318,119587158.60341,144229937.246095,140779069.030098,160200349.5845,144229937.246095,0.00011934345193,7.33207569823646E-05,8.95862177783473E-05,9,6,7
AOE93295.1,ABC transporter permease [synthetic bacterium JCVI-Syn3.0],23.9130434782609,23,415,9500000000,1254440606.73438,1134661932.8509,1173557736.53476,1173557736.53476,742168456.840315,820832932.46327,1053112846.01496,820832932.46327,1038365168.90833,1089646213.01696,1193214106.63613,1089646213.01696,0.000767906985221,0.000503265506657,0.000676817065892,59,39,52
